item_code,variant,variant_desctiption,variant_order,vendor,stock_quantity
50467258-001,XS,XS,101,0413,0
50471366-606,42,42,4,0413,1
OW32164-G,ST,ST,1,0511,0
OW22447-0,ST,ST,1,0511,0
OW63232-R,M,M,4,0511,0
OW62094-0,ST,ST,1,0511,1
OW22188-G,ST,ST,1,0511,4
OW11974-RG001,ST,ST,1,0511,1
OWKS015-0,ST,ST,1,0511,6
OW63232-R,S,S,2,0511,2
OW22796-RG319,ST,ST,1,0511,14
OW22851-R001,ST,ST,1,0511,3
OW61164-WHI,ST,ST,1,0511,1
OW41141-G,XL,XL,8,0511,0
BSA6980144-019,ST,ST,1,0515,7
ASA8410144-70Q,ST,ST,1,0515,0
BSA4580244-682,ST,ST,1,0515,1
BMA7820144-450,ST,ST,1,0515,10
BMA7210444-692,ST,ST,1,0515,3
PDA5150144-001,ST,ST,1,0515,10
BCA7560244-300,ST,ST,1,0515,4
BSA5340144-487,ST,ST,1,0515,3
BSA3960244-600,ST,ST,1,0515,2
AAA7290344-950,ST,ST,1,0515,2
BSA5270444-001,ST,ST,1,0515,1
AGA5620144-70Q,ST,ST,1,0515,1
ANA7290144-621,ST,ST,1,0515,1
BCA7580144-104,ST,ST,1,0515,0
BSA4570144-104,ST,ST,1,0515,3
ANA4610144-682,ST,ST,1,0515,0
AAA8400144-299,ST,ST,1,0515,0
AAA7510444-487,ST,ST,1,0515,1
BSA4920144-001,ST,ST,1,0515,2
ANA4770244-488,ST,ST,1,0515,3
BSA6900144-400,ST,ST,1,0515,5
BTA5070444-001,ST,ST,1,0515,5
BMA7210444-950,ST,ST,1,0515,2
BSA4880344-210,ST,ST,1,0515,2
APA3350744-633,ST,ST,1,0515,1
87069025-40,20,S,3,054,3
27057133-99,19,XS,2,054,1
27055771-70,19,XS,2,054,0
37010101-TC,36,36,2,054,6
37001250-53,08,08,9,054,1
27052506-08,40,40,6,054,0
77010539-99,20,S,3,054,0
87017124-99,19,XS,2,054,2
27008634-20,44,44,7,054,1
37040357-88,22,L,5,054,0
27005774-99,19,XS,2,054,0
27047118-45,21,M,4,054,2
87030569-09,20,S,3,054,0
37860369-02,22,L,5,054,0
27083262-40,21,M,4,054,4
27077741-28,21,M,4,054,1
27008634-20,40,40,5,054,1
37910020-85,20,S,3,054,4
37001240-05,20,S,3,054,0
37050456-32,20,S,3,054,2
37050252-99,20,S,3,054,2
27038646-99,20,S,3,054,3
17010262-99,21,M,4,054,0
37001054-88,21,M,4,054,0
37002004-56,14,14,12,054,1
27019202-02,44,44,7,054,0
37010114-OR,99,BEZ VELICINA,1,054,5
77035929-01,22,L,5,054,0
17050215-70,20,S,3,054,1
27007126-88,22,L,5,054,0
17051072-88,22,L,5,054,0
27098635-99,23,XL,6,054,0
37010416-20,21,M,4,054,0
27024013-85,22,L,5,054,1
27065749-74,20,S,3,054,2
37020377-85,19,XS,2,054,0
37000381-99,21,M,4,054,0
27009075-01,23,XL,6,054,0
27085794-TM,36,36,2,054,1
27037120-50,23,XL,6,054,1
37012003-56,14,14,12,054,0
27064758-99,22,L,5,054,0
27081124-PL,99,BEZ VELICINA,1,054,0
27050819-TG,34,34,1,054,1
37041309-70,22,L,5,054,0
27037131-12,19,XS,2,054,0
37000460-99,19,XS,2,054,0
87010524-99,20,S,3,054,1
27038630-43,22,L,5,054,0
27075912-70,19,XS,2,054,0
27097115-52,22,L,5,054,0
27974381-01,11,11-12,6,054,0
27075769-14,20,S,3,054,0
37082006-99,20,S,3,054,1
17920237-40,21,M,4,054,1
27040896-TM,40,40,4,054,0
27034038-52,22,L,5,054,0
37050246-12,99,BEZ VELICINA,1,054,4
27077118-84,20,S,3,054,0
27098635-99,19,XS,2,054,3
27927745-12,19,XS,2,054,1
27058637-52,40,40,5,054,1
27009002-02,23,XL,6,054,0
17820164-02,20,S,3,054,2
27072528-05,21,M,4,054,0
27078636-43,19,XS,2,054,0
37050779-82,99,BEZ VELICINA,1,054,2
27004377-TC,10,10,10,054,0
27082524-09,99,BEZ VELICINA,1,054,0
87074054-52,20,S,3,054,2
87039036-01,21,M,4,054,2
27068635-65,19,XS,2,054,0
17050105-99,20,S,3,054,6
87075704-68,23,XL,6,054,1
17010103-99,22,L,5,054,1
27094008-99,20,S,3,054,5
17045931-70,36,36,3,054,0
17045931-70,42,42,6,054,0
RPL001550,M,M,3,0611,1
RPL001391,L,L,4,0611,3
RPL001602,42,42,3,0611,2
RPL001483,XS,XS,1,0611,4
RPL001770,M,M,3,0611,0
RPL001401,XXL,XXL,6,0611,0
RPL001620,38,38,3,0611,2
RPL001765,L,L,4,0611,0
RPL001591,36-34,36-34,20,0611,2
RPL001409,32-34,32-34,9,0611,0
RPL001454,XXL,XXL,6,0611,1
